player,pValue,slope,intercept,r-SquaredValue,stdErr,numDataPoints
Mike James,0.113136242224,0.144533626271,0.306433576375,0.0123177903114,0.0908370647654,205
David West,0.0082449876815,0.254895135727,0.349770222213,0.0153058747426,0.0960581111776,455
Wayne Ellington,0.128312934645,0.141664449191,0.335016629979,0.0128019264029,0.0927233494649,182
Brad Miller,0.910510189595,-0.010736454099,0.45614065432,4.58523921176e-05,0.0954366914182,278
Tim Duncan,0.786797937951,0.029162304755,0.526150707095,0.000175625628435,0.107751104621,419
Tim Thomas,0.454161655109,0.0915458323656,0.347932571811,0.00322385251613,0.122032410315,176
Matt Barnes,0.0858596905669,0.122086195936,0.367721319881,0.00819588207025,0.0708817515382,361
Earl Watson,0.852004010726,0.0136443677399,0.40657590501,0.000106923202702,0.0730777920321,328
Joakim Noah,0.167212271579,-0.159138012885,0.629588006606,0.00924050139841,0.11480919569,208
Rajon Rondo,0.246548505979,-0.110636872639,0.494590856951,0.00456451940843,0.0952873513058,296
Jodie Meeks,0.0550119815342,-0.198146797817,0.52168501474,0.0228182824115,0.102511658052,162
Ryan Gomes,0.507015652137,-0.070709297621,0.453072372985,0.00155708924141,0.106435908714,285
Carlos Delfino,0.807398068799,-0.0191453882036,0.415199179592,0.000193251523426,0.0784666998322,310
Mike Miller,0.892786609835,0.0128016915434,0.474691684031,5.72120836396e-05,0.0949068354073,320
Dahntay Jones,0.760391228867,0.0232491768813,0.425298223635,0.000377229924535,0.0761507362794,249
Gary Neal,0.125188643567,0.176578894435,0.353023381546,0.0151026108962,0.114536107792,157
LaMarcus Aldridge,0.312144538312,0.101254350185,0.439203738051,0.00238124200883,0.100061170807,431
Bobby Simmons,0.139768827943,-0.14730313313,0.509142375575,0.0126337224465,0.0992935962197,174
Rodney Stuckey,0.653950113358,0.0407697807563,0.369616708338,0.000675254004676,0.0908552401455,300
Kyle Lowry,0.843267875911,-0.0146558756967,0.422330598345,0.000129218945288,0.0740626592181,305
Mickael Pietrus,0.810275716264,-0.0204433666647,0.421861375605,0.000203992227539,0.0850762011177,285
Bobby Jackson,0.858808025294,0.0153610449988,0.376872478634,0.000140324433622,0.0862520487343,228
Carlos Boozer,0.45437223428,-0.0782457849694,0.646693470736,0.00148553962096,0.104478116896,379
Jannero Pargo,0.731118740225,0.0247402072309,0.358065295023,0.000478938589034,0.071913581127,249
Beno Udrih,0.705464409345,-0.0314205187531,0.496029883789,0.000387576030651,0.0830687231963,371
Omri Casspi,0.813528837328,0.0249645474066,0.436289194857,0.000353189900095,0.105660900524,160
Thaddeus Young,0.0785561026737,0.154298469734,0.450432312568,0.00879000742192,0.0874573422954,353
Jeff Foster,0.250067735855,0.127967313125,0.396984798358,0.00886895145717,0.110824382163,151
John Wall,0.935438208044,-0.014412214304,0.40892403033,4.21967224915e-05,0.177631461541,158
Marcus Camby,0.930536625682,0.0120527754943,0.465592195094,3.36958287577e-05,0.138113922376,228
Chris Paul,0.766720504155,0.0261273122437,0.453901100846,0.00019448152223,0.0880165267435,455
Ricky Davis,0.495408453685,0.0665597973845,0.361230742988,0.00181027933634,0.097494289601,259
Kevin Love,0.330289172433,0.112204446497,0.403838448409,0.00398262077023,0.115019260277,240
Jose Juan Barea,0.0555237065028,-0.161216748619,0.483600422012,0.0138696732173,0.0838236035369,265
Quinton Ross,0.916405922314,0.01057934765,0.383306559821,7.3689392015e-05,0.100622422906,152
Toney Douglas,0.520739971604,-0.0640009237679,0.437933199015,0.00230784067381,0.0994615206986,181
Jason Kapono,0.758961108888,0.0288768956406,0.463189292781,0.00044090411097,0.0939887297872,216
Ryan Anderson,0.191126152,0.142140067171,0.351984105232,0.00705125288002,0.108427415105,244
Devean George,0.0908135587135,-0.167874993706,0.469966995027,0.0189476998865,0.0986298133797,152
Aaron Brooks,0.554840991905,0.0500870834716,0.368491727933,0.00148595204355,0.0846967031414,237
Lamar Odom,0.738267847028,0.024066765591,0.465015966469,0.000237282897,0.0719817705635,473
Chauncey Billups,0.746901517734,-0.0353175178445,0.447382746996,0.000302285263416,0.109346903113,347
Fred Jones,0.141375017781,0.150589091843,0.381375173656,0.0131416983077,0.101899779243,166
Al Harrington,0.17462093421,-0.112345440371,0.473059916334,0.00427149389721,0.0826223210176,433
George Hill,0.319391768991,0.0873169287052,0.419750593663,0.0037554851661,0.0875278849423,266
DeShawn Stevenson,0.653391127518,-0.0449013904923,0.404402379639,0.000855900900512,0.0998633454771,238
Gerald Green,0.708156592314,0.0461820948656,0.379841203258,0.000906543002138,0.123144957297,157
Kendrick Perkins,0.206629636693,0.150716238232,0.512486376676,0.0106113318425,0.118826398476,152
Mike Conley,0.118635064535,-0.155228238451,0.490727650792,0.0072538141431,0.0992165741492,337
Shane Battier,0.0278076537308,-0.171729687577,0.497350855806,0.0129090853564,0.0777538325597,375
