id,date,home_team,home_team_score,overtime,visit_team,visit_team_score
400488879,2014-10-30,Toronto Raptors,93,False,Boston Celtics,87
400488897,2014-11-01,Boston Celtics,98,False,Milwaukee Bucks,105
400488914,2014-11-03,Detroit Pistons,87,False,Boston Celtics,77
400488922,2014-11-04,Memphis Grizzlies,95,False,Boston Celtics,88
400488937,2014-11-06,Boston Celtics,97,False,Utah Jazz,87
400488948,2014-11-08,Orlando Magic,89,False,Boston Celtics,91
400488962,2014-11-09,Miami Heat,110,False,Boston Celtics,111
400488974,2014-11-11,Boston Celtics,120,False,Orlando Magic,105
400488986,2014-11-13,Boston Celtics,83,False,Charlotte Bobcats,89
400489001,2014-11-15,Boston Celtics,96,False,Portland Trail Blazers,109
400489015,2014-11-16,Minnesota Timberwolves,106,False,Boston Celtics,88
400489032,2014-11-19,Houston Rockets,109,False,Boston Celtics,85
400489043,2014-11-20,San Antonio Spurs,104,False,Boston Celtics,93
400489052,2014-11-22,Boston Celtics,82,False,Indiana Pacers,97
400489063,2014-11-23,Atlanta Hawks,87,False,Boston Celtics,94
400489075,2014-11-25,Charlotte Bobcats,86,False,Boston Celtics,96
400489090,2014-11-27,Boston Celtics,93,False,Memphis Grizzlies,100
400489105,2014-11-29,Boston Celtics,103,False,Cleveland Cavaliers,86
400489120,2014-11-30,Milwaukee Bucks,92,False,Boston Celtics,85
400489135,2014-12-03,Boston Celtics,108,False,Milwaukee Bucks,100
400489156,2014-12-06,Boston Celtics,106,False,Denver Nuggets,98
400489172,2014-12-08,New York Knicks,73,False,Boston Celtics,114
400489187,2014-12-10,Brooklyn Nets,104,False,Boston Celtics,96
400489192,2014-12-11,Boston Celtics,88,False,Los Angeles Clippers,96
400489206,2014-12-13,Boston Celtics,90,False,New York Knicks,86
400489231,2014-12-16,Boston Celtics,101,False,Minnesota Timberwolves,97
400489246,2014-12-18,Boston Celtics,106,False,Detroit Pistons,107
400489266,2014-12-21,Boston Celtics,99,False,Washington Wizards,106
400489277,2014-12-22,Indiana Pacers,106,False,Boston Celtics,79
400489309,2014-12-28,Boston Celtics,103,False,Cleveland Cavaliers,100
400489333,2014-12-31,Boston Celtics,91,False,Atlanta Hawks,92
400489348,2014-01-02,Chicago Bulls,94,False,Boston Celtics,82
400489357,2014-01-03,Boston Celtics,92,False,New Orleans Pelicans,95
400489375,2014-01-05,Oklahoma City Thunder,119,False,Boston Celtics,96
400489390,2014-01-07,Denver Nuggets,129,False,Boston Celtics,98
400489401,2014-01-08,Los Angeles Clippers,111,False,Boston Celtics,105
400489414,2014-01-10,Golden State Warriors,99,False,Boston Celtics,97
400489424,2014-01-11,Portland Trail Blazers,112,False,Boston Celtics,104
400489429,2014-01-13,Boston Celtics,92,False,Houston Rockets,104
400489442,2014-01-15,Boston Celtics,88,False,Toronto Raptors,83
400489459,2014-01-17,Boston Celtics,104,False,Los Angeles Lakers,107
400489475,2014-01-19,Orlando Magic,93,False,Boston Celtics,91
400489490,2014-01-21,Miami Heat,93,False,Boston Celtics,86
400489498,2014-01-22,Washington Wizards,111,True,Boston Celtics,113
400489509,2014-01-24,Boston Celtics,83,False,Oklahoma City Thunder,101
400489531,2014-01-26,Boston Celtics,79,False,Brooklyn Nets,85
400489543,2014-01-28,New York Knicks,114,False,Boston Celtics,88
400489551,2014-01-29,Boston Celtics,94,False,Philadelphia 76ers,95
400489582,2014-02-02,Boston Celtics,96,False,Orlando Magic,89
400489599,2014-02-05,Philadelphia 76ers,108,False,Boston Celtics,114
400489616,2014-02-07,Boston Celtics,99,False,Sacramento Kings,89
400489631,2014-02-09,Boston Celtics,91,False,Dallas Mavericks,102
400489640,2014-02-10,Milwaukee Bucks,86,False,Boston Celtics,102
400489653,2014-02-12,Boston Celtics,92,False,San Antonio Spurs,104
400489680,2014-02-19,Phoenix Suns,100,False,Boston Celtics,94
400489697,2014-02-21,Los Angeles Lakers,101,False,Boston Celtics,92
400489704,2014-02-22,Sacramento Kings,105,False,Boston Celtics,98
400489718,2014-02-24,Utah Jazz,110,False,Boston Celtics,98
400489727,2014-02-26,Boston Celtics,115,False,Atlanta Hawks,104
400489750,2014-03-01,Boston Celtics,97,False,Indiana Pacers,102
400488877,2014-10-30,Cleveland Cavaliers,98,False,Brooklyn Nets,94
400488901,2014-11-01,Brooklyn Nets,101,False,Miami Heat,100
400488916,2014-11-03,Orlando Magic,107,False,Brooklyn Nets,86
400488925,2014-11-05,Brooklyn Nets,104,False,Utah Jazz,88
400488950,2014-11-08,Washington Wizards,112,True,Brooklyn Nets,108
400488960,2014-11-09,Brooklyn Nets,91,False,Indiana Pacers,96
400488994,2014-11-13,Sacramento Kings,107,False,Brooklyn Nets,86
400489005,2014-11-15,Phoenix Suns,98,True,Brooklyn Nets,100
400489019,2014-11-16,Los Angeles Clippers,110,False,Brooklyn Nets,103
